#,label,environment,wifi_band,number_of_users,user_1_location,user_2_location,user_3_location,user_4_location,user_5_location,user_6_location,user_1_activity,user_2_activity,user_3_activity,user_4_activity,user_5_activity,user_6_activity
1,act_1_1,classroom,2.4,1,a,,,,,,nothing,,,,,
2,act_1_2,classroom,2.4,1,a,,,,,,walk,,,,,
3,act_1_3,classroom,2.4,1,a,,,,,,rotation,,,,,
4,act_1_4,classroom,2.4,1,a,,,,,,jump,,,,,
5,act_1_5,classroom,2.4,1,a,,,,,,wave,,,,,
6,act_1_6,classroom,2.4,1,a,,,,,,lie_down,,,,,
7,act_1_7,classroom,2.4,1,a,,,,,,pick_up,,,,,
8,act_1_8,classroom,2.4,1,a,,,,,,sit_down,,,,,
9,act_1_9,classroom,2.4,1,a,,,,,,stand_up,,,,,
10,act_1_10,classroom,2.4,1,b,,,,,,nothing,,,,,
11,act_1_11,classroom,2.4,1,b,,,,,,walk,,,,,
12,act_1_12,classroom,2.4,1,b,,,,,,rotation,,,,,
13,act_1_13,classroom,2.4,1,b,,,,,,jump,,,,,
14,act_1_14,classroom,2.4,1,b,,,,,,wave,,,,,
15,act_1_15,classroom,2.4,1,b,,,,,,lie_down,,,,,
16,act_1_16,classroom,2.4,1,b,,,,,,pick_up,,,,,
17,act_1_17,classroom,2.4,1,b,,,,,,sit_down,,,,,
18,act_1_18,classroom,2.4,1,b,,,,,,stand_up,,,,,
19,act_1_19,classroom,2.4,1,c,,,,,,nothing,,,,,
20,act_1_20,classroom,2.4,1,c,,,,,,walk,,,,,
21,act_1_21,classroom,2.4,1,c,,,,,,rotation,,,,,
22,act_1_22,classroom,2.4,1,c,,,,,,jump,,,,,
23,act_1_23,classroom,2.4,1,c,,,,,,wave,,,,,
24,act_1_24,classroom,2.4,1,c,,,,,,lie_down,,,,,
25,act_1_25,classroom,2.4,1,c,,,,,,pick_up,,,,,
26,act_1_26,classroom,2.4,1,c,,,,,,sit_down,,,,,
27,act_1_27,classroom,2.4,1,c,,,,,,stand_up,,,,,
28,act_1_28,classroom,2.4,1,d,,,,,,nothing,,,,,
29,act_1_29,classroom,2.4,1,d,,,,,,walk,,,,,
30,act_1_30,classroom,2.4,1,d,,,,,,rotation,,,,,
31,act_1_31,classroom,2.4,1,d,,,,,,jump,,,,,
32,act_1_32,classroom,2.4,1,d,,,,,,wave,,,,,
33,act_1_33,classroom,2.4,1,d,,,,,,lie_down,,,,,
34,act_1_34,classroom,2.4,1,d,,,,,,pick_up,,,,,
35,act_1_35,classroom,2.4,1,d,,,,,,sit_down,,,,,
36,act_1_36,classroom,2.4,1,d,,,,,,stand_up,,,,,
37,act_1_37,classroom,2.4,1,e,,,,,,nothing,,,,,
38,act_1_38,classroom,2.4,1,e,,,,,,walk,,,,,
39,act_1_39,classroom,2.4,1,e,,,,,,rotation,,,,,
40,act_1_40,classroom,2.4,1,e,,,,,,jump,,,,,
41,act_1_41,classroom,2.4,1,e,,,,,,wave,,,,,
42,act_1_42,classroom,2.4,1,e,,,,,,lie_down,,,,,
43,act_1_43,classroom,2.4,1,e,,,,,,pick_up,,,,,
44,act_1_44,classroom,2.4,1,e,,,,,,sit_down,,,,,
45,act_1_45,classroom,2.4,1,e,,,,,,stand_up,,,,,
46,act_1_46,classroom,2.4,1,a,,,,,,nothing,,,,,
47,act_1_47,classroom,2.4,1,a,,,,,,walk,,,,,
48,act_1_48,classroom,2.4,1,a,,,,,,rotation,,,,,
49,act_1_49,classroom,2.4,1,a,,,,,,jump,,,,,
50,act_1_50,classroom,2.4,1,a,,,,,,wave,,,,,
51,act_1_51,classroom,2.4,1,a,,,,,,lie_down,,,,,
52,act_1_52,classroom,2.4,1,a,,,,,,pick_up,,,,,
53,act_1_53,classroom,2.4,1,a,,,,,,sit_down,,,,,
54,act_1_54,classroom,2.4,1,a,,,,,,stand_up,,,,,
55,act_1_55,classroom,2.4,1,b,,,,,,nothing,,,,,
56,act_1_56,classroom,2.4,1,b,,,,,,walk,,,,,
57,act_1_57,classroom,2.4,1,b,,,,,,rotation,,,,,
58,act_1_58,classroom,2.4,1,b,,,,,,jump,,,,,
59,act_1_59,classroom,2.4,1,b,,,,,,wave,,,,,
60,act_1_60,classroom,2.4,1,b,,,,,,lie_down,,,,,
61,act_1_61,classroom,2.4,1,b,,,,,,pick_up,,,,,
62,act_1_62,classroom,2.4,1,b,,,,,,sit_down,,,,,
63,act_1_63,classroom,2.4,1,b,,,,,,stand_up,,,,,
64,act_1_64,classroom,2.4,1,c,,,,,,nothing,,,,,
65,act_1_65,classroom,2.4,1,c,,,,,,walk,,,,,
66,act_1_66,classroom,2.4,1,c,,,,,,rotation,,,,,
67,act_1_67,classroom,2.4,1,c,,,,,,jump,,,,,
68,act_1_68,classroom,2.4,1,c,,,,,,wave,,,,,
69,act_1_69,classroom,2.4,1,c,,,,,,lie_down,,,,,
70,act_1_70,classroom,2.4,1,c,,,,,,pick_up,,,,,
71,act_1_71,classroom,2.4,1,c,,,,,,sit_down,,,,,
72,act_1_72,classroom,2.4,1,c,,,,,,stand_up,,,,,
73,act_1_73,classroom,2.4,1,d,,,,,,nothing,,,,,
74,act_1_74,classroom,2.4,1,d,,,,,,walk,,,,,
75,act_1_75,classroom,2.4,1,d,,,,,,rotation,,,,,
76,act_1_76,classroom,2.4,1,d,,,,,,jump,,,,,
77,act_1_77,classroom,2.4,1,d,,,,,,wave,,,,,
78,act_1_78,classroom,2.4,1,d,,,,,,lie_down,,,,,
79,act_1_79,classroom,2.4,1,d,,,,,,pick_up,,,,,
80,act_1_80,classroom,2.4,1,d,,,,,,sit_down,,,,,
81,act_1_81,classroom,2.4,1,d,,,,,,stand_up,,,,,
82,act_1_82,classroom,2.4,1,e,,,,,,nothing,,,,,
83,act_1_83,classroom,2.4,1,e,,,,,,walk,,,,,
84,act_1_84,classroom,2.4,1,e,,,,,,rotation,,,,,
85,act_1_85,classroom,2.4,1,e,,,,,,jump,,,,,
86,act_1_86,classroom,2.4,1,e,,,,,,wave,,,,,
87,act_1_87,classroom,2.4,1,e,,,,,,lie_down,,,,,
88,act_1_88,classroom,2.4,1,e,,,,,,pick_up,,,,,
89,act_1_89,classroom,2.4,1,e,,,,,,sit_down,,,,,
90,act_1_90,classroom,2.4,1,e,,,,,,stand_up,,,,,
91,act_1_91,classroom,2.4,1,a,,,,,,nothing,,,,,
92,act_1_92,classroom,2.4,1,a,,,,,,walk,,,,,
93,act_1_93,classroom,2.4,1,a,,,,,,rotation,,,,,
94,act_1_94,classroom,2.4,1,a,,,,,,jump,,,,,
95,act_1_95,classroom,2.4,1,a,,,,,,wave,,,,,
96,act_1_96,classroom,2.4,1,a,,,,,,lie_down,,,,,
97,act_1_97,classroom,2.4,1,a,,,,,,pick_up,,,,,
